"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
3.35,0.7,NA,3.2,2.2,3,NA,4.95,2.5,1.265,NA,2507,28452,0,0,0,0,1,1,1,0,0,NA,100,3500,0,27589,0,0
NA,NA,NA,7.6,NA,3,NA,2.9,NA,NA,1.5,1007,68300,0,1,1,4,2,1,1,0,0,2500,NA,2000,300000,36100,0,1
7.76,2,30,8.2,NA,4,NA,4.11,2.5,NA,1,4481,82334,0,1,1,6,3,1,1,0,1,3000,810,6500,0,37300,0,1
6.76,1.5,20,5.45,NA,4,NA,3.2,1.56,NA,1,3224.83,55500,0,0,1,8,2,1,1,0,1,NA,1200,6000,0,22500,0,1
2.65,0.3,10,3.9,0.5,2,1,3.08,1.7,0.05,NA,2262,14143,1,0,1,6,1,1,0,1,0,NA,NA,2000,0,14143,0,0
11.47,1,30,8.898,1.85,4,2,13.76,1.1,1.135,1.5,5857,53248,0,0,1,15,4,1,0,1,0,NA,1920,5500,0,13248,0,0
5.225,0.14,10,3.59,NA,2,2,8,3.1,0.05,2.5,3557,47250,0,0,1,5,3,0,0,1,1,NA,960,3500,0,12250,0,0
4.38,2,30,7.8,14,4,NA,3.46,1.5,2,NA,3539,68200,0,0,0,0,2,1,1,1,1,NA,240,5800,0,40200,0,0
3.8,NA,10,7.75,1,6.5,NA,2,0.7,3,1.5,2796,65000,1,1,0,0,3,1,1,0,1,5000,1000,10000,0,0,0,0
5.2,2,30,8.25,NA,8.5,1.6,5,1.3,1.15,1,4852,80700,1,1,1,6,4,1,1,1,1,7000,250,4000,0,0,0,0
3.6,1,20,3.25,NA,3,NA,1.2,1.5,NA,NA,2001,47000,0,0,0,0,1,1,1,1,1,NA,2000,7000,0,0,0,0
1.2,NA,10,0.25,0.6,2,NA,0.85,NA,0.075,6,1841,35000,0,1,0,0,1,1,1,1,1,8000,NA,4000,0,0,0,0
8.71,0.25,30,9.13999999999999,1,4.2,1.6,9.04,4.5,2.145,NA,6039,90000,1,1,1,4,5,1,1,1,1,5000,960,5500,0,30000,0,0
2.225,0.245,10,1.45,5.4,1,2,4.58,0.2,0.05,0.5,1731,31444,0,0,0,0,2,1,1,0,0,NA,NA,2000,0,24444,0,0
1.5,NA,NA,1.2,2,1,NA,1.6,0.3,NA,NA,715,31260,0,0,0,0,1,1,1,0,0,NA,NA,1300,0,31260,0,0
2.325,NA,10,6.06,8,2.5,NA,3,1.7,NA,NA,2090,88000,1,0,0,0,3,1,1,0,1,NA,1000,5800,120000,0,0,0
0.5,1,10,2.4,NA,2,NA,1.5,NA,NA,NA,1386,41000,1,0,1,7,1,0,0,0,1,NA,3810,840,0,32000,0,0
2.62,1.2,10,2.25,13.8,1,1,3.4,0.35,NA,NA,1361,30000,1,0,0,0,1,1,1,0,1,NA,1000,2300,0,30000,0,0
2,NA,20,NA,NA,1,NA,NA,NA,NA,NA,570,39000,0,0,1,6,2,1,1,1,1,NA,500,4000,180000,0,0,0
0.4,0.8,NA,2.7,15,1,0.8,3.5,0.3,1,NA,1014,74500,1,1,1,6,2,1,1,1,1,1000,1680,5500,0,26500,0,1
NA,1,NA,1.1,1,NA,NA,1.1,NA,NA,NA,955,54000,0,0,1,4.2,2,1,1,0,0,NA,NA,4000,0,51000,0,1
3.1,0.7,20,4.1,NA,3.5,NA,1.2,1,2,0.7,2930,75000,0,1,1,5,3,1,1,0,1,5000,NA,4000,0,0,0,0
3.8,1,10,3.9,NA,3.5,NA,2.8,6,1,NA,2617,29600,0,0,1,5,2,1,1,0,1,NA,500,2450,0,29600,0,0
4.52499999999999,0.245,10,4,2,3,1.6,3.58,0.7,0.24,0.5,3297,38321,0,0,1,4,2,1,1,1,0,NA,NA,3400,0,36597,0,0
5.55,1,20,17.54,NA,4,2,5.14,4.5,0.145,1.25,5410,75000,1,1,1,6,4,1,0,1,1,5000,960,4000,0,0,0,0
4,NA,NA,2,NA,1.7,NA,3,NA,NA,NA,1230,71000,0,1,1,6.5,2,1,0,0,1,1000,NA,1000,0,71000,0,0
6.3,0.3,20,7.93,3,6,1.8,4.9,2,0.97,1.65,6441,112400,1,1,0,0,4,1,1,1,1,7000,500,4000,3800000,0,0,0
